id,feedback
1,review_headline
2,Dollars add up!
3,iTunes Gift Card
4,Way easier than explaining your musical taste to your family
5,iTunes Is To Expensive For There Music
6,Great give idea for iPod owning Music Lover
7,Easy and convenient
8,iTunes cards = music buying freedom
9,Perfect Gift or Just Because
10,Deceptive. Entices Kids to Wrack up Charges Unknowingly
11,The product never came after I pay for it.
12,It's in dollars and I live in the UK
13,"Adult allowance, woohoo!"
14,great
15,Five Stars
16,allowance works!
17,Chain gifts? AWFUL!
18,Not true...
19,iTunes Music Store $15 PrePaid Card Review
20,WHY OH WHY???
21,Xmas gift that was sooo late
22,It's an iTunes Music Card
23,Disappointing Service
24,Differance in Amazon allowance & Amazon gift card & how to use?
25,Easy savings
26,Four Stars
27,I love it! Totally helps me with my monthly budget
28,Gift certificates are the best gift for teenagers
29,Works For Me!  Great Treat For My Son!
30,Monthly allowance charges regardless of receipient's purchase
31,Super easy to set this thing up
32,One Star
33,Where is personal Amazon payments?
34,Very difficult process. It did not work and I ...
35,Great Idea!
36,itunes paid for
37,Not eligible for super saver shipping
38,Sweet Music
39,iTunes Prepaid Card
40,Could be better
41,Do not buy these unless you inted to use it all at once
42,Terrible for an unsuspecting recipient
43,Giving the gift of music
44,"Get a bad code, lose your money"
45,It Was an Interesting Process
46,Finally!!
47,says 5 min it's been like
48,"If its not broke, dont fix it ..."
49,"Be VERY VERY VERY Careful, Apple is a problem!!!!!"
50,Perfect Gift for Anyone with an iPod
51,great tiem
52,An Easy Way to Give a Gift
53,Product is nice.
54,great budget
55,Gift as a gift
56,Excellent Gift Idea
57,Don't Buy From Amazon!
58,Love 'em.
59,For all those iTunes international fans
60,I-Tunes Music card
61,I'd recommend this card over the other 2
62,$50 card for $39.99 on amazon!
63,Simple process
64,I love amazon allowance
65,Works great.
66,Great money saver
67,What a fantastic idea!
68,Great
69,Misleading
70,Free music!
71,Dont buy this here !!!!!!!!
72,"Very self explanitory, very easy to use"
73,D R M
74,Poor Change in the Facebook Giftcard
75,Very nice!
76,gift card
77,AMAZON ALLOWANCE:  Fantastic device for effortless gifting!
78,Modern Day Allowance
79,Great service
80,Dont use this EVER
81,I use it to bake brownies and cakes as a healthier alternative and they always come out great!
82,didn't work
83,Energy
84,not this one
85,Perfect for novice and experienced shavers!  Plus a few tips for beginners.
86,Price
87,Glue in a Bottle
88,Just what we needed
89,STILL MIXED THOUGHTS
90,Great 1-2 Punch
91,Improve your sex
92,Non Braun Tooth Brush Replacement Heads
93,Would definitely buy again!
94,just perfect
95,Gel is only 2.8oz
96,an extraordinary and revolutionary tool
97,"I love these pills and so dies my gf, i have been looking for a product that actually works like this one for a long time"
98,Works awesome!
99,Made in China
100,TBD
101,I didn't think I could ever go without makeup before this!
102,Textured Dominoes
103,Great and lasts pretty long
104,Works Great
105,Generic Oral B heads
106,Will buy again for sure!
107,interesting device
108,Nice Job - Quick to ship and exactly as described
109,Reduced Pain!
110,nice but hair start growing very next moment.
111,I like the quality of this product however the bristles are ...
112,They Practically Melt In Your Mouth.
113,Does its job RIGHT!
114,so many new workouts!
115,Comment
116,BRING THEM BACK NOW!!  WHY DON'T THEY SELL THESE ANYMORE?!
117,Piece of crap...
118,A great product
119,Does its job!
120,Very nice packaging. This item came in a printed gift ...
121,i thought it was good now its not old and updated reviews in one
122,I just started taking boost and i like the results
123,Amazing...a true thumb saver
124,Great check-ups
125,One speed doesn't work (and it's the one I need)
126,... version of this product for years and it was great..
127,vivite cream
128,Bad Bada Product
129,needs fixing
130,Not for Civics
131,extra cover for pillow
132,Great supplier
133,Great but Bad
134,Love these! I am planning on using them on ...
135,Well Delivered
136,Five Stars!!
